Company Name,Symbol
ABB Ltd.,ABB
ACC Ltd.,ACC
Adani Enterprises Ltd.,ADANIENT
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS
Adani Power Ltd.,ADANIPOWER
Aditya Birla Nuvo Ltd.,ABIRLANUVO
Allahabad Bank,ALBK
Ambuja Cements Ltd.,AMBUJACEM
Amtek Auto Ltd.,AMTEKAUTO
Andhra Bank,ANDHRABANK
Apollo Hospitals Enterprises Ltd.,APOLLOHOSP
Apollo Tyres Ltd.,APOLLOTYRE
Ashok Leyland Ltd.,ASHOKLEY
Asian Paints Ltd.,ASIANPAINT
Aurobindo Pharma Ltd.,AUROPHARMA
Axis Bank Ltd.,AXISBANK
Bajaj Auto Ltd.,BAJAJ-AUTO
Bajaj Finserv Ltd.,BAJAJFINSV
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG
Bank of Baroda,BANKBARODA
Bank of India,BANKINDIA
Bata India Ltd.,BATAINDIA
Bharat Electronics Ltd.,BEL
Bharat Forge Ltd.,BHARATFORG
Bharat Heavy Electricals Ltd.,BHEL
Bharat Petroleum Corporation Ltd.,BPCL
Bharti Airtel Ltd.,BHARTIARTL
Bhushan Steel Ltd.,BHUSANSTL
Biocon Ltd.,BIOCON
Bosch Ltd.,BOSCHLTD
Britannia Industries Ltd.,BRITANNIA
CESC Ltd.,CESC
CMC Ltd.,CMC
CORE Education & Technologies Ltd.,COREEDUTEC
Cadila Healthcare Ltd.,CADILAHC
Cairn India Ltd.,CAIRN
Canara Bank,CANBK
Castrol (India) Ltd.,CASTROL
Central Bank of India,CENTRALBK
Century Textile & Industries Ltd.,CENTURYTEX
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT
Cipla Ltd.,CIPLA
Coal India Ltd.,COALINDIA
Colgate Palmolive (India) Ltd.,COLPAL
Container Corporation of India Ltd.,CONCOR
Coromandel International Ltd.,COROMANDEL
Crompton Greaves Ltd.,CROMPGREAV
Cummins India Ltd.,CUMMINSIND
DLF Ltd.,DLF
Dabur India Ltd.,DABUR
Dena Bank,DENABANK
Dewan Housing Finance Corporation Ltd.,DHFL
Dish TV India Ltd.,DISHTV
Divi's Laboratories Ltd.,DIVISLAB
Dr. Reddy's Laboratories Ltd.,DRREDDY
Eicher Motors Ltd.,EICHERMOT
Engineers India Ltd.,ENGINERSIN
Exide Industries Ltd.,EXIDEIND
Federal Bank Ltd.,FEDERALBNK
Financial Technologies (India) Ltd.,FINANTECH
GAIL (India) Ltd.,GAIL
GMR Infrastructure Ltd.,GMRINFRA
GVK Power & Infrastructures Ltd.,GVKPIL
Gitanjali Gems Ltd.,GITANJALI
GlaxoSmithkline Consumer Healthcare Ltd.,GSKCONS
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO
Glenmark Pharmaceuticals Ltd.,GLENMARK
Godrej Consumer Products Ltd.,GODREJCP
Godrej Industries Ltd.,GODREJIND
Grasim Industries Ltd.,GRASIM
Great Eastern Shipping Co. Ltd.,GESHIP
Gujarat Fluorochemicals Ltd.,GUJFLUORO
Gujarat Gas Co. Ltd.,GUJRATGAS
Gujarat Mineral Development Corporation Ltd.,GMDCLTD
Gujarat State Petronet Ltd.,GSPL
HCL Technologies Ltd.,HCLTECH
